Decorated function name;Undecorated function name;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
??R?$_Cmp_icase@V?$regex_traits@D@std@@@std@@QEAA_NDD@Z;bool __cdecl std::_Cmp_icase<class std::regex_traits<char> >::operator()(char,char) __ptr64;317300;317300;317300;0;1
??1_Range_eraser@?$_Hash@V?$_Umap_traits@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@V?$_Uhash_compare@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@2@$0A@@std@@@std@@QEAA@XZ;__cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct FileCompilationData,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocat;317200;317200;317200;0;1
?max_load_factor@?$_Hash@V?$_Umap_traits@_KULocalThreadData@PackedProcessThreadRemapper@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@std@@V?$allocator@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@@4@$0A@@std@@@std@@QEBAMXZ;float __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> >,0> >::max_load_factor(void)const __ptr64;317200;317200;317200;0;1
??$?0AEBV?$allocator@D@std@@$$V@?$_Compressed_pair@V?$allocator@D@std@@V?$_Vector_val@U?$_Simple_types@D@std@@@2@$00@std@@QEAA@U_One_then_variadic_args_t@1@AEBV?$allocator@D@1@@Z;??$?0AEBV?$allocator@D@std@@$$V@?$_Compressed_pair@V?$allocator@D@std@@V?$_Vector_val@U?$_Simple_types@D@std@@@2@$00@std@@QEAA@U_One_then_variadic_args_t@1@AEBV?$allocator@D@1@@Z;317000;317000;317000;0;1
?_Min@?$_Tree_val@U?$_Tree_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UHelpGroupDetails@cxxopts@@@std@@@std@@@std@@SAPEAU?$_Tree_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UHelpGroupDetails@cxxopts@@@std@@PEAX@2@PEAU32@@Z;static struct std::_Tree_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct cxxopts::HelpGroupDetails>,void * __ptr64> * __ptr64 __cdecl std::_Tree_val<struct std::_Tree_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct cxxopts::HelpGroupDetails> > >::_Min(struct std::_Tree_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>;317000;317000;317000;0;1
?_Unchecked_begin@?$_Hash@V?$_Umap_traits@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@V?$_Uhash_compare@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@2@$0A@@std@@@std@@QEBA?AV?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@std@@@std@@U_Iterator_base0@2@@2@XZ;class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > >,struct std::_Iterator_base0> __cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct FileCompilationData,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>;317000;317000;317000;0;1
??$_Construct_in_place@PEAU?$_List_node@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@PEAX@std@@AEAPEAU12@@std@@YAXAEAPEAU?$_List_node@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@PEAX@0@0@Z;void __cdecl std::_Construct_in_place<struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void * __ptr64> * __ptr64,struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void * __ptr64> * __ptr64 & __ptr64>(struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void * __ptr64> * __ptr64 & __ptr64,struct std::_List_node<struct std::pair<unsigned __int64 const ,struct Template;316800;316800;316800;0;1
?_Allocate@?$_Alloc_construct_ptr@V?$allocator@U?$_List_node@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@PEAX@std@@@std@@@std@@QEAAXXZ;void __cdecl std::_Alloc_construct_ptr<class std::allocator<struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > >,void * __ptr64> > >::_Allocate(void) __ptr64;316800;316800;316800;0;1
?end@?$_Hash@V?$_Umap_traits@_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@2@V?$allocator@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@2@$0A@@std@@@std@@QEAA?AV?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@@2@XZ;class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct;316800;294400;339200;22400;2
??0?$_Vector_val@U?$_Simple_types@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@@std@@@std@@@std@@QEAA@XZ;__cdecl std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > > >::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,cla;316800;309300;324300;7500;2
?_At@?$match_results@PEBDV?$allocator@V?$sub_match@PEBD@std@@@std@@@std@@QEAAAEAV?$sub_match@PEBD@2@I@Z;class std::sub_match<char const * __ptr64> & __ptr64 __cdecl std::match_results<char const * __ptr64,class std::allocator<class std::sub_match<char const * __ptr64> > >::_At(unsigned int) __ptr64;316800;316800;316800;0;1
??$?0V?$allocator@U?$_List_node@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEAX@std@@@std@@@?$list@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@AEAA@U_Move_allocator_tag@1@AEAV?$allocator@U?$_List_node@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PEAX@std@@@1@@Z;__cdecl std::list<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >::list<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > ><class std::allocator<struct std::_List_node<class std::basic_string<char,struct std:;316800;316500;317100;300;2
?_Umove_if_noexcept@?$vector@U?$pair@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@V?$allocator@U?$pair@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@@2@@std@@AEAAXPEAU?$pair@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@2@00@Z;void __cdecl std::vector<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >::_Umove_if_noexcept(struct std::pair<class std::basic_string<char,stru;316700;316700;316700;0;1
??$_Construct_in_place@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@@std@@@std@@AEBV12@@std@@YAXAEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@@std@@@0@AEBV10@@Z;void __cdecl std::_Construct_in_place<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > > >,class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > > > const & __ptr64>(class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __i;316700;316700;316700;0;1
??$Forward@VActivity@Activities@BuildInsights@Cpp@Microsoft@@VCommandLine@SimpleEvents@345@@?$HandlerForwarder@U?$Group@VActivity@Activities@BuildInsights@Cpp@Microsoft@@VCommandLine@SimpleEvents@345@@Internal@BuildInsights@Cpp@Microsoft@@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVActivity@Activities@BuildInsights@Cpp@Microsoft@@AEBVCommandLine@SimpleEvents@345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VActivity@Activities@BuildInsights@Cpp@Microsoft@@VCommandLine@SimpleEvents@345@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@SAX$$QEAV?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVActivity@Activities@BuildInsights@Cpp@Microsoft@@AEBVCommandLine@SimpleEvents@345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@2345@$$QEAVActivity@Activities@345@$$QEAVCommandLine@SimpleEvents@345@@Z;??$Forward@VActivity@Activities@BuildInsights@Cpp@Microsoft@@VCommandLine@SimpleEvents@345@@?$HandlerForwarder@U?$Group@VActivity@Activities@BuildInsights@Cpp@Microsoft@@VCommandLine@SimpleEvents@345@@Internal@BuildInsights@Cpp@Microsoft@@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVActivity@Activities@BuildInsights@Cpp@Microsoft@@AEBVCommandLine@SimpleEvents@345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VActiv;316700;316700;316700;0;1
?max_size@?$_Default_allocator_traits@V?$allocator@U?$_Tree_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UHelpGroupDetails@cxxopts@@@std@@PEAX@std@@@std@@@std@@SA_KAEBV?$allocator@U?$_Tree_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UHelpGroupDetails@cxxopts@@@std@@PEAX@std@@@2@@Z;static unsigned __int64 __cdecl std::_Default_allocator_traits<class std::allocator<struct std::_Tree_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct cxxopts::HelpGroupDetails>,void * __ptr64> > >::max_size(class std::allocator<struct std::_Tree_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct cxxopts::HelpGroupDetails>,void * __ptr64> > const & __ptr64);316700;316700;316700;0;1
?Begin@?$GenericValue@U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@@rapidjson@@QEAAPEAV12@XZ;class rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> > * __ptr64 __cdecl rapidjson::GenericValue<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> >::Begin(void) __ptr64;316600;316600;316600;0;1
??_G?$GenericMember@U?$UTF8@D@rapidjson@@V?$MemoryPoolAllocator@VCrtAllocator@rapidjson@@@2@@rapidjson@@QEAAPEAXI@Z;void * __ptr64 __cdecl rapidjson::GenericMember<struct rapidjson::UTF8<char>,class rapidjson::MemoryPoolAllocator<class rapidjson::CrtAllocator> >::`scalar deleting destructor'(unsigned int) __ptr64;316600;316600;316600;0;1
??$get@$0A@V?$AnalyzerSmartPtrImpl@V?$DynamicSmartPtrAnalyzerGroupImpl@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@234@@Internal@BuildInsights@Cpp@Microsoft@@VRawPtrWrapper@2345@@Internal@BuildInsights@Cpp@Microsoft@@@std@@YAAEAV?$AnalyzerSmartPtrImpl@V?$DynamicSmartPtrAnalyzerGroupImpl@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@234@@Internal@BuildInsights@Cpp@Microsoft@@VRawPtrWrapper@2345@@Internal@BuildInsights@Cpp@Microsoft@@AEAV?$tuple@V?$AnalyzerSmartPtrImpl@V?$DynamicSmartPtrAnalyzerGroupImpl@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@234@@Internal@BuildInsights@Cpp@Microsoft@@VRawPtrWrapper@2345@@Internal@BuildInsights@Cpp@Microsoft@@@0@@Z;class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper> & __ptr64 __cdecl std::get<0,class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights;316500;316500;316500;0;1
??$move@AEAV?$MaterializeMemberFuncHandler@VFileInclusionsAnalyzer@@XU?$Group@AEBVFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@AEBV12345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAV?$MaterializeMemberFuncHandler@VFileInclusionsAnalyzer@@XU?$Group@AEBVFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@AEBV12345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@AEAV12345@@Z;??$move@AEAV?$MaterializeMemberFuncHandler@VFileInclusionsAnalyzer@@XU?$Group@AEBVFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@AEBV12345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAV?$MaterializeMemberFuncHandler@VFileInclusionsAnalyzer@@XU?$Group@AEBVFrontEndFile@Activities@BuildInsights@Cpp@Microsoft@@AEBV12345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@AEAV12345@@Z;316300;316300;316300;0;1
??$move@AEAV?$MatchEventFixedHandler@U?$MatchEventAndContinue@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAV?$MatchEventFixedHandler@U?$MatchEventAndContinue@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@AEAV12345@@Z;??$move@AEAV?$MatchEventFixedHandler@U?$MatchEventAndContinue@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@@2345@U?$Group@$$V@2345@@Internal@BuildInsights@Cpp@Microsoft@@@Internal@B;316200;316200;316200;0;1
?max_load_factor@?$_Hash@V?$_Umap_traits@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@V?$_Uhash_compare@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@@2@$0A@@std@@@std@@QEBAMXZ;float __cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct `anonymous namespace'::DataPerTemplate,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char>;316200;316200;316200;0;1
??$forward@AEAPEAU?$_List_node@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@PEAX@std@@@std@@YAAEAPEAU?$_List_node@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@PEAX@0@AEAPEAU10@@Z;struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void * __ptr64> * __ptr64 & __ptr64 __cdecl std::forward<struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void * __ptr64> * __ptr64 & __ptr64>(struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::cha;316200;242400;390000;73800;2
??$_Sort_heap_unchecked@PEAUDataPerFile@?A0x120c265a@@V<lambda_1fae86a0efb35da210a6f82844560f44>@@@std@@YAXPEAUDataPerFile@?A0x120c265a@@0V<lambda_1fae86a0efb35da210a6f82844560f44>@@@Z;void __cdecl std::_Sort_heap_unchecked<struct `anonymous namespace'::DataPerFile * __ptr64,class <lambda_1fae86a0efb35da210a6f82844560f44> >(struct `anonymous namespace'::DataPerFile * __ptr64,struct `anonymous namespace'::DataPerFile * __ptr64,class <lambda_1fae86a0efb35da210a6f82844560f44>);316100;316100;316100;0;1
??$assign@PEAU_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@$0A@@?$vector@U_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@V?$allocator@U_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@3@@std@@QEAAXPEAU_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@1@0@Z;void __cdecl std::vector<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t,class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t> >::assign<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t * __ptr64,0>(struct std::_Tgt_state_t<class std::_String_const_iterat;316100;316100;316100;0;1
?_Pfx@?$match_results@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@V?$allocator@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@2@@std@@QEAAAEAV?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@2@XZ;class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > & __ptr64 __cdecl std::match_results<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,class std::allocator<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > > >::_Pfx(void) __ptr64;316100;316100;316100;0;1
?_Beg_expr@?$_Builder@PEBDDV?$regex_traits@D@std@@@std@@QEBA_NXZ;bool __cdecl std::_Builder<char const * __ptr64,char,class std::regex_traits<char> >::_Beg_expr(void)const __ptr64;316000;316000;316000;0;1
??$addressof@PEBD@std@@YAPEAPEBDAEAPEBD@Z;char const * __ptr64 * __ptr64 __cdecl std::addressof<char const * __ptr64>(char const * __ptr64 & __ptr64);315900;315900;315900;0;1
??$move@AEAPEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAPEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@AEAPEAV1234@@Z;??$move@AEAPEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@@std@@YA$$QEAPEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@AEAPEAV1234@@Z;315900;315900;315900;0;1
??$?0U?$pair@$$CBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@VOptionValue@cxxopts@@@std@@@?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@VOptionValue@cxxopts@@@std@@@std@@@std@@@std@@@std@@QEAA@AEBV?$allocator@U?$pair@$$CBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@VOptionValue@cxxopts@@@std@@@1@@Z;__cdecl std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> > > > >::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> > > > ><struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,;315800;315800;315800;0;1
?_Release@?$_Alloc_construct_ptr@V?$allocator@U?$_List_node@U?$pair@$$CBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@VOptionValue@cxxopts@@@std@@PEAX@std@@@std@@@std@@QEAAPEAU?$_List_node@U?$pair@$$CBV?$shared_ptr@VOptionDetails@cxxopts@@@std@@VOptionValue@cxxopts@@@std@@PEAX@2@XZ;struct std::_List_node<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue>,void * __ptr64> * __ptr64 __cdecl std::_Alloc_construct_ptr<class std::allocator<struct std::_List_node<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue>,void * __ptr64> > >::_Release(void) __ptr64;315800;315800;315800;0;1
??0invalid_option_format_error@cxxopts@@QEAA@AEBV01@@Z;__cdecl cxxopts::invalid_option_format_error::invalid_option_format_error(class cxxopts::invalid_option_format_error const & __ptr64) __ptr64;315800;315800;315800;0;1
??9?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@@std@@@std@@U_Iterator_base0@2@@std@@QEBA_NAEBV01@@Z;bool __cdecl std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > >,struct std::_Iterator_base0>::operator!=(class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompila;315750;284900;346600;30850;2
??0_Node_if@std@@QEAA@PEAV_Node_base@1@@Z;__cdecl std::_Node_if::_Node_if(class std::_Node_base * __ptr64) __ptr64;315700;315700;315700;0;1
??9?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@@std@@U_Iterator_base0@2@@std@@QEBA_NAEBV01@@Z;bool __cdecl std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > >,struct std::_Iterator_base0>::operator!=(class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > >,struct std::_Iterator_base0> const & __ptr64)const __ptr64;315600;266100;365100;49500;2
