Specialization template;Primary template;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
void __cdecl std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *>::_Free_non_head<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> >>(class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> > &,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> *) noexcept;void __cdecl std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *>::_Free_non_head(_Alnode &,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> *) noexcept;3500;3500;3500;0;1
void __cdecl std::vector<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t,class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t> >::_Resize<struct std::_Value_init_tag>(const unsigned __int64,const struct std::_Value_init_tag &);void __cdecl std::vector<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t,class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t> >::_Resize(const unsigned __int64,const _Ty2 &);3500;3500;3500;0;1
__cdecl std::_Ref_count_obj2<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >::_Ref_count_obj2<>(void);__cdecl std::_Ref_count_obj2<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >::_Ref_count_obj2(_Types &&...);3500;3500;3500;0;1
struct `anonymous-namespace'::DataPerTemplate &&__cdecl std::get<0x00,struct `anonymous-namespace'::DataPerTemplate&&>(class std::tuple<struct `anonymous namespace'::DataPerTemplate &&> &&) noexcept;tuple_element<,unsigned __int64,$$W$TBAAC::ple,td>::type &&__cdecl std::get(class std::tuple<`template-type-parameter-2'...> &&) noexcept;3500;3500;3500;0;1
bool __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName const &> > >::Run<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName,>(const class Microsoft::Cpp::BuildInsights::RawEvent &,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName const &> > &&);bool __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName const &> > >::Run(const class Microsoft::Cpp::BuildInsights::RawEvent &,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName const &> > &&);3500;3500;3500;0;1
void __cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,0> >::insert<class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >,struct std::_Iterator_base0>>(class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >,struct std::_Iterator_base0>,class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >,struct std::_Iterator_base0>);void __cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,0> >::insert(_Iter,_Iter);3500;3500;3500;0;1
bool __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileCompilationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::BackEndPass const &> > >::RunFindId<false>(const class Microsoft::Cpp::BuildInsights::RawEvent &,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileCompilationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::BackEndPass const &> > &&);bool __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileCompilationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::BackEndPass const &> > >::RunFindId(const class Microsoft::Cpp::BuildInsights::RawEvent &,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileCompilationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::BackEndPass const &> > &&);3500;3500;3500;0;1
__cdecl std::_Compressed_pair<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate>,void *> >,class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> > >,1>::_Compressed_pair<const class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> >&,>(struct std::_One_then_variadic_args_t,const class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> > &) noexcept;__cdecl std::_Compressed_pair<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate>,void *> >,class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> > >,1>::_Compressed_pair(struct std::_One_then_variadic_args_t,_Other1 &&,_Other2 &&...) noexcept(<expr>);3500;3500;3500;0;1
void __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventFixedHandler<struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileInclusionsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MatchEventAndContinue<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile> >::operator ()<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,bool&,const class Microsoft::Cpp::BuildInsights::EventStack&,unsigned __int64&,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileInclusionsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &> >>(class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile &&,bool &,const class Microsoft::Cpp::BuildInsights::EventStack &,unsigned __int64 &,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileInclusionsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &> > &&);void __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventFixedHandler<struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileInclusionsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MatchEventAndContinue<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile> >::operator ()(TArgs &&...);3500;3500;3500;0;1
bool __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation const &> > >::RunFindId<false>(const class Microsoft::Cpp::BuildInsights::RawEvent &,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation const &> > &&);bool __cdecl Microsoft::Cpp::BuildInsights::Internal::MatchEventImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation const &> > >::RunFindId(const class Microsoft::Cpp::BuildInsights::RawEvent &,class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class TemplateInstantiationsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation const &> > &&);3500;3500;3500;0;1
unsigned short &__cdecl cxxopts::values::checked_negate<unsigned short,unsigned short&>(unsigned short &,const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,struct std::integral_constant<bool,0>);T __cdecl cxxopts::values::checked_negate(T &&,const class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &,struct std::integral_constant<bool,0>);3500;3500;3500;0;1
void __cdecl std::_Destroy_in_place<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *>*>(struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> *&) noexcept;void __cdecl std::_Destroy_in_place(_Ty &) noexcept;3500;3500;3500;0;1
void __cdecl std::_Destroy_range<class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<unsigned __int64> >,struct std::_Iterator_base0>*>(class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<unsigned __int64> >,struct std::_Iterator_base0> *,class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<unsigned __int64> >,struct std::_Iterator_base0> *const ) noexcept;void __cdecl std::_Destroy_range(_NoThrowFwdIt,const _NoThrowFwdIt) noexcept;3500;3500;3500;0;1
const char *__cdecl std::_Lookup_coll<const char*,char>(const char *,const char *,const struct std::_Sequence<char> *);_BidIt __cdecl std::_Lookup_coll(_BidIt,_BidIt,const struct std::_Sequence<`template-type-parameter-2'> *);3500;3500;3500;0;1
class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > __cdecl std::_Cmp_chrange<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,const char*,struct std::_Cmp_cs<class std::regex_traits<char> >>(class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,const char *,const char *,struct std::_Cmp_cs<class std::regex_traits<char> >);_BidIt1 __cdecl std::_Cmp_chrange(_BidIt1,_BidIt1,_BidIt2,_BidIt2,_Pr);3500;3500;3500;0;1
void __cdecl std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *>::_Freenode0<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *> >>(class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *> > &,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *> *) noexcept;void __cdecl std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *>::_Freenode0(_Alnode &,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *> *) noexcept;3500;3200;3800;300;2
class std::_Node_assert *__cdecl std::exchange<class std::_Node_assert*,class std::_Node_assert*>(class std::_Node_assert *&,class std::_Node_assert *&&) noexcept;_Ty __cdecl std::exchange(_Ty &,_Other &&) noexcept(<expr>);3500;3500;3500;0;1
__cdecl std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>::pair<class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &&>,class std::tuple<struct FileCompilationData &&>,0x00,0x00>(class std::tuple<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &&> &,class std::tuple<struct FileCompilationData &&> &,struct std::integer_sequence<unsigned __int64,0>,struct std::integer_sequence<unsigned __int64,0>);__cdecl std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>::pair(_Tuple1 &,_Tuple2 &,struct std::integer_sequence<unsigned __int64,unsigned __int64, ?? >,struct std::integer_sequence<unsigned __int64,unsigned __int64, ?? >);3500;3500;3500;0;1
void __cdecl std::_Ptr_base<class cxxopts::Value>::_Weakly_construct_from<class cxxopts::values::standard_value<unsigned int>>(const class std::_Ptr_base<class cxxopts::values::standard_value<unsigned int> > &) noexcept;void __cdecl std::_Ptr_base<class cxxopts::Value>::_Weakly_construct_from(const class std::_Ptr_base<`template-type-parameter-1'> &) noexcept;3500;3500;3500;0;1
bool __cdecl Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeId<class Microsoft::Cpp::BuildInsights::Activities::BackEndPass>(unsigned int);bool __cdecl Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeId(unsigned int);3500;3500;3500;0;1
void __cdecl std::_Ptr_base<class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >::_Alias_construct_from<class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >>(const class std::shared_ptr<class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > &,class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > *) noexcept;void __cdecl std::_Ptr_base<class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >::_Alias_construct_from(const class std::shared_ptr<`template-type-parameter-1'> &,class cxxopts::values::standard_value<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > *) noexcept;3500;3500;3500;0;1
unsigned int *__cdecl std::addressof<unsigned int>(unsigned int &) noexcept;_Ty *__cdecl std::addressof(_Ty &) noexcept;3500;3500;3500;0;1
void __cdecl Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName const &> >::operator ()<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName>(class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName &&);void __cdecl Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName const &> >::operator ()(TArgs &&...);3500;3500;3500;0;1
struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void *> *__cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,struct TemplateInstantiationData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> >,0> >::_Find<unsigned __int64>(const unsigned __int64 &,const unsigned __int64) const;struct std::_List_node<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData>,void *> *__cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,struct TemplateInstantiationData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> >,0> >::_Find(const _Keyty &,const unsigned __int64) const;3500;3500;3500;0;1
class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > *__cdecl std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >::_Emplace_reallocate<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >>(class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > *const ,class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > &&);class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > *__cdecl std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >::_Emplace_reallocate(class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > *const ,_Valty &&...);3500;3400;3600;100;2
void __cdecl std::_Bitmap::_Mark<unsigned int>(unsigned int);void __cdecl std::_Bitmap::_Mark(_Elem);3500;3500;3500;0;1
__cdecl std::_Ref_count_obj2<class cxxopts::values::standard_value<bool> >::_Ref_count_obj2<>(void);__cdecl std::_Ref_count_obj2<class cxxopts::values::standard_value<bool> >::_Ref_count_obj2(_Types &&...);3500;3500;3500;0;1
void __cdecl std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *>::_Freenode<class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> >>(class std::allocator<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> > &,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> *) noexcept;void __cdecl std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *>::_Freenode(_Alnode &,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> *) noexcept;3500;3500;3500;0;1
__cdecl std::_Compressed_pair<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > > > >,class std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > > > > >,1>::_Compressed_pair<const class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> >&,>(struct std::_One_then_variadic_args_t,const class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > &) noexcept;__cdecl std::_Compressed_pair<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > > > >,class std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> > > > > >,1>::_Compressed_pair(struct std::_One_then_variadic_args_t,_Other1 &&,_Other2 &&...) noexcept(<expr>);3500;3500;3500;0;1
struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t *__cdecl std::vector<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t,class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t> >::_Ucopy<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t*>(struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t *,struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t *,struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t *);struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t *__cdecl std::vector<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t,class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t> >::_Ucopy(_Iter,_Iter,struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t *);3500;3500;3500;0;1
bool __cdecl Microsoft::Cpp::BuildInsights::MatchEventInMemberFunction<class FilterTimelineAnalyzer,void,const class Microsoft::Cpp::BuildInsights::Activities::Function&,,>(const class Microsoft::Cpp::BuildInsights::RawEvent &,class FilterTimelineAnalyzer *,void (__cdecl FilterTimelineAnalyzer::* )(const class Microsoft::Cpp::BuildInsights::Activities::Function &));bool __cdecl Microsoft::Cpp::BuildInsights::MatchEventInMemberFunction(const class Microsoft::Cpp::BuildInsights::RawEvent &,TInterface *,TReturn (__cdecl TInterface::* )(TEntity,TExtraParams...),TExtraArgs &&...);3500;3500;3500;0;1
struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> *&&__cdecl std::forward<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate>*>(struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> *&) noexcept;_Ty &&__cdecl std::forward(remove_reference<`template-type-parameter-1'>::type &) noexcept;3500;3500;3500;0;1
const unsigned __int64 &__cdecl std::_Umap_traits<unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> >,0>::_Kfn<const unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData>(const struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> &) noexcept;const unsigned __int64 &__cdecl std::_Umap_traits<unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> >,0>::_Kfn(const struct std::pair<`template-type-parameter-1',`template-type-parameter-2'> &) noexcept;3500;3500;3500;0;1
